edge_id,lat,lng,queue_len,type
1,31.237872,121.470259,39,3.0
2,31.232877,121.48753,39,3.0
3,31.232548,121.478971,17,2.0
4,31.227933,121.45361,24,3.0
5,31.235682,121.487831,4,1.0
6,31.251358,121.485526,26,3.0
7,31.244229,121.475231,10,2.0
8,31.23936,121.488752,3,1.0
9,31.244859,121.489305,9,1.0
10,31.23543,121.447652,10,2.0
11,31.239655,121.478097,25,3.0
12,31.228014,121.477667,35,3.0
13,31.216686,121.493011,3,1.0
14,31.234259,121.52572,26,3.0
15,31.229094,121.480266,6,1.0
16,31.232518,121.465177,10,2.0
17,31.225207,121.452948,16,2.0
18,31.242893,121.465382,16,2.0
19,31.240874,121.518086,17,2.0
20,31.245183,121.484965,1,1.0
21,31.312979,121.545236,2,1.0
22,31.217516,121.452872,22,3.0
23,31.228017,121.444777,12,2.0
24,31.221325,121.448881,36,3.0
25,31.23271,121.455345,16,2.0
26,31.236138,121.463199,6,1.0
27,31.225275,121.47164,12,2.0
28,31.24143,121.475172,32,3.0
29,31.232857,121.475333,16,2.0
30,31.228726,121.482748,41,3.0
31,31.236381,121.484201,3,1.0
32,31.242514,121.493696,13,2.0
33,31.233516,121.491431,9,1.0
34,31.22622,121.506261,15,2.0
35,31.223981,121.478274,5,1.0
36,31.224117,121.4732,24,3.0
37,31.256071,121.462096,9,1.0
38,31.248429,121.463698,2,1.0
39,31.237435,121.455917,5,1.0
40,31.236009,121.478941,2,1.0
41,31.224552,121.482535,5,1.0
42,31.219947,121.467027,6,1.0
43,31.223107,121.454329,5,1.0
44,31.206668,121.449678,8,1.0
45,31.200811,121.444401,3,1.0
46,31.166058,121.403691,8,1.0
47,31.228047,121.425893,5,1.0
48,31.224154,121.43807,4,1.0
49,31.229071,121.452449,13,2.0
50,31.242867,121.490229,2,1.0
51,31.244555,121.5099,4,1.0
52,31.236828,121.514196,2,1.0
53,31.234796,121.533464,3,1.0
54,31.224126,121.547664,1,1.0
55,31.221777,121.558508,2,1.0
56,31.207247,121.572933,2,1.0
57,31.242837,121.455083,13,2.0
58,31.234737,121.513936,2,1.0
59,31.233452,121.480931,1,1.0
60,31.220334,121.367655,2,1.0
61,31.213903,121.410198,3,1.0
62,31.256232,121.498254,2,1.0
63,31.25563,121.508513,37,3.0
64,31.247009,121.47942,4,1.0
65,31.242365,121.503571,24,3.0
66,31.245624,121.522839,15,2.0
67,31.235072,121.518805,6,1.0
68,31.288572,121.534233,3,1.0
69,31.286253,121.531109,1,1.0
70,31.283793,121.518888,2,1.0
71,31.240478,121.526884,22,3.0
72,31.240601,121.442307,5,1.0
73,31.242082,121.522779,2,1.0
74,31.241762,121.50497,4,1.0
75,31.244701,121.514543,2,1.0
76,31.237926,121.46594,3,1.0
77,31.23537,121.522706,2,1.0
